Dato,Event,Aldersgruppe,Region,Nye indlagte,Kumulative nye indlagte,Indlagte per dag
15-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
15-02-2020,Hospitalised,60+,Nordjylland,0,0,0
15-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
15-02-2020,Hospitalised,60+,Midtjylland,0,0,0
15-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
15-02-2020,Hospitalised,60+,Syddanmark,0,0,0
15-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
15-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
15-02-2020,Hospitalised,0-59,Zealand,0,0,0
15-02-2020,Hospitalised,60+,Zealand,0,0,0
16-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
16-02-2020,Hospitalised,60+,Nordjylland,0,0,0
16-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
16-02-2020,Hospitalised,60+,Midtjylland,0,0,0
16-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
16-02-2020,Hospitalised,60+,Syddanmark,0,0,0
16-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
16-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
16-02-2020,Hospitalised,0-59,Zealand,0,0,0
16-02-2020,Hospitalised,60+,Zealand,0,0,0
17-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
17-02-2020,Hospitalised,60+,Nordjylland,0,0,0
17-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
17-02-2020,Hospitalised,60+,Midtjylland,0,0,0
17-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
17-02-2020,Hospitalised,60+,Syddanmark,0,0,0
17-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
17-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
17-02-2020,Hospitalised,0-59,Zealand,0,0,0
17-02-2020,Hospitalised,60+,Zealand,0,0,0
18-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
18-02-2020,Hospitalised,60+,Nordjylland,0,0,0
18-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
18-02-2020,Hospitalised,60+,Midtjylland,0,0,0
18-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
18-02-2020,Hospitalised,60+,Syddanmark,0,0,0
18-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
18-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
18-02-2020,Hospitalised,0-59,Zealand,0,0,0
18-02-2020,Hospitalised,60+,Zealand,0,0,0
19-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
19-02-2020,Hospitalised,60+,Nordjylland,0,0,0
19-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
19-02-2020,Hospitalised,60+,Midtjylland,0,0,0
19-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
19-02-2020,Hospitalised,60+,Syddanmark,0,0,0
19-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
19-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
19-02-2020,Hospitalised,0-59,Zealand,0,0,0
19-02-2020,Hospitalised,60+,Zealand,0,0,0
20-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
20-02-2020,Hospitalised,60+,Nordjylland,0,0,0
20-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
20-02-2020,Hospitalised,60+,Midtjylland,0,0,0
20-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
20-02-2020,Hospitalised,60+,Syddanmark,0,0,0
20-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
20-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
20-02-2020,Hospitalised,0-59,Zealand,0,0,0
20-02-2020,Hospitalised,60+,Zealand,0,0,0
21-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
21-02-2020,Hospitalised,60+,Nordjylland,0,0,0
21-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
21-02-2020,Hospitalised,60+,Midtjylland,0,0,0
21-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
21-02-2020,Hospitalised,60+,Syddanmark,0,0,0
21-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
21-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
21-02-2020,Hospitalised,0-59,Zealand,0,0,0
21-02-2020,Hospitalised,60+,Zealand,0,0,0
22-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
22-02-2020,Hospitalised,60+,Nordjylland,0,0,0
22-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
22-02-2020,Hospitalised,60+,Midtjylland,0,0,0
22-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
22-02-2020,Hospitalised,60+,Syddanmark,0,0,0
22-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
22-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
22-02-2020,Hospitalised,0-59,Zealand,0,0,0
22-02-2020,Hospitalised,60+,Zealand,0,0,0
23-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
23-02-2020,Hospitalised,60+,Nordjylland,0,0,0
23-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
23-02-2020,Hospitalised,60+,Midtjylland,0,0,0
23-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
23-02-2020,Hospitalised,60+,Syddanmark,0,0,0
23-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
23-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
23-02-2020,Hospitalised,0-59,Zealand,0,0,0
23-02-2020,Hospitalised,60+,Zealand,0,0,0
24-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
24-02-2020,Hospitalised,60+,Nordjylland,0,0,0
24-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
24-02-2020,Hospitalised,60+,Midtjylland,0,0,0
24-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
24-02-2020,Hospitalised,60+,Syddanmark,0,0,0
24-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
24-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
24-02-2020,Hospitalised,0-59,Zealand,0,0,0
24-02-2020,Hospitalised,60+,Zealand,0,0,0
25-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
25-02-2020,Hospitalised,60+,Nordjylland,0,0,0
25-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
25-02-2020,Hospitalised,60+,Midtjylland,0,0,0
25-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
25-02-2020,Hospitalised,60+,Syddanmark,0,0,0
25-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
25-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
25-02-2020,Hospitalised,0-59,Zealand,0,0,0
25-02-2020,Hospitalised,60+,Zealand,0,0,0
26-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
26-02-2020,Hospitalised,60+,Nordjylland,0,0,0
26-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
26-02-2020,Hospitalised,60+,Midtjylland,0,0,0
26-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
26-02-2020,Hospitalised,60+,Syddanmark,0,0,0
26-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
26-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
26-02-2020,Hospitalised,0-59,Zealand,0,0,0
26-02-2020,Hospitalised,60+,Zealand,0,0,0
27-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
27-02-2020,Hospitalised,60+,Nordjylland,0,0,0
27-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
27-02-2020,Hospitalised,60+,Midtjylland,0,0,0
27-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
27-02-2020,Hospitalised,60+,Syddanmark,0,0,0
27-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
27-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
27-02-2020,Hospitalised,0-59,Zealand,0,0,0
27-02-2020,Hospitalised,60+,Zealand,0,0,0
28-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
28-02-2020,Hospitalised,60+,Nordjylland,0,0,0
28-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
28-02-2020,Hospitalised,60+,Midtjylland,0,0,0
28-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
28-02-2020,Hospitalised,60+,Syddanmark,0,0,0
28-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
28-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
28-02-2020,Hospitalised,0-59,Zealand,0,0,0
28-02-2020,Hospitalised,60+,Zealand,0,0,0
29-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
29-02-2020,Hospitalised,60+,Nordjylland,0,0,0
29-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
29-02-2020,Hospitalised,60+,Midtjylland,0,0,0
29-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
29-02-2020,Hospitalised,60+,Syddanmark,0,0,0
29-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
29-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
29-02-2020,Hospitalised,0-59,Zealand,0,0,0
29-02-2020,Hospitalised,60+,Zealand,0,0,0
01-03-2020,Hospitalised,0-59,Hovedstaden,1,1,1
01-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
01-03-2020,Hospitalised,60+,Nordjylland,0,0,0
01-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
01-03-2020,Hospitalised,60+,Midtjylland,0,0,0
01-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
01-03-2020,Hospitalised,60+,Syddanmark,0,0,0
01-03-2020,Hospitalised,60+,Hovedstaden,0,0,0
01-03-2020,Hospitalised,0-59,Zealand,0,0,0
01-03-2020,Hospitalised,60+,Zealand,0,0,0
02-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
02-03-2020,Hospitalised,60+,Nordjylland,0,0,0
02-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
02-03-2020,Hospitalised,60+,Midtjylland,0,0,0
02-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
02-03-2020,Hospitalised,60+,Syddanmark,0,0,0
02-03-2020,Hospitalised,0-59,Hovedstaden,0,1,1
02-03-2020,Hospitalised,60+,Hovedstaden,0,0,0
02-03-2020,Hospitalised,0-59,Zealand,0,0,0
02-03-2020,Hospitalised,60+,Zealand,0,0,0
03-03-2020,Hospitalised,0-59,Hovedstaden,1,2,2
03-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
03-03-2020,Hospitalised,60+,Nordjylland,0,0,0
03-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
03-03-2020,Hospitalised,60+,Midtjylland,0,0,0
03-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
03-03-2020,Hospitalised,60+,Syddanmark,0,0,0
03-03-2020,Hospitalised,60+,Hovedstaden,0,0,0
03-03-2020,Hospitalised,0-59,Zealand,0,0,0
03-03-2020,Hospitalised,60+,Zealand,0,0,0
04-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
04-03-2020,Hospitalised,60+,Nordjylland,0,0,0
04-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
04-03-2020,Hospitalised,60+,Midtjylland,0,0,0
04-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
04-03-2020,Hospitalised,60+,Syddanmark,0,0,0
04-03-2020,Hospitalised,0-59,Hovedstaden,0,2,2
04-03-2020,Hospitalised,60+,Hovedstaden,0,0,0
04-03-2020,Hospitalised,0-59,Zealand,0,0,0
04-03-2020,Hospitalised,60+,Zealand,0,0,0
05-03-2020,Hospitalised,0-59,Hovedstaden,0,2,1
05-03-2020,Hospitalised,60+,Hovedstaden,1,1,1
05-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
05-03-2020,Hospitalised,60+,Nordjylland,0,0,0
05-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
05-03-2020,Hospitalised,60+,Midtjylland,0,0,0
05-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
05-03-2020,Hospitalised,60+,Syddanmark,0,0,0
05-03-2020,Hospitalised,0-59,Zealand,0,0,0
05-03-2020,Hospitalised,60+,Zealand,0,0,0
06-03-2020,Hospitalised,60+,Hovedstaden,3,4,4
06-03-2020,Hospitalised,0-59,Zealand,1,1,1
06-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
06-03-2020,Hospitalised,60+,Nordjylland,0,0,0
06-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
06-03-2020,Hospitalised,60+,Midtjylland,0,0,0
06-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
06-03-2020,Hospitalised,60+,Syddanmark,0,0,0
06-03-2020,Hospitalised,0-59,Hovedstaden,0,2,1
06-03-2020,Hospitalised,60+,Zealand,0,0,0
07-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
07-03-2020,Hospitalised,60+,Nordjylland,0,0,0
07-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
07-03-2020,Hospitalised,60+,Midtjylland,0,0,0
07-03-2020,Hospitalised,0-59,Syddanmark,0,0,0
07-03-2020,Hospitalised,60+,Syddanmark,0,0,0
07-03-2020,Hospitalised,0-59,Hovedstaden,0,2,1
07-03-2020,Hospitalised,60+,Hovedstaden,0,4,4
07-03-2020,Hospitalised,0-59,Zealand,0,1,1
07-03-2020,Hospitalised,60+,Zealand,0,0,0
08-03-2020,Hospitalised,0-59,Syddanmark,1,1,1
08-03-2020,Hospitalised,0-59,Hovedstaden,3,5,4
08-03-2020,Hospitalised,0-59,Zealand,0,1,0
08-03-2020,Hospitalised,60+,Zealand,1,1,1
08-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
08-03-2020,Hospitalised,60+,Nordjylland,0,0,0
08-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
08-03-2020,Hospitalised,60+,Midtjylland,0,0,0
08-03-2020,Hospitalised,60+,Syddanmark,0,0,0
08-03-2020,Hospitalised,60+,Hovedstaden,0,4,4
09-03-2020,Hospitalised,0-59,Hovedstaden,2,7,6
09-03-2020,Hospitalised,60+,Hovedstaden,3,7,7
09-03-2020,Hospitalised,0-59,Zealand,6,7,6
09-03-2020,Hospitalised,60+,Zealand,1,2,2
09-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
09-03-2020,Hospitalised,60+,Nordjylland,0,0,0
09-03-2020,Hospitalised,0-59,Midtjylland,0,0,0
09-03-2020,Hospitalised,60+,Midtjylland,0,0,0
09-03-2020,Hospitalised,0-59,Syddanmark,0,1,1
09-03-2020,Hospitalised,60+,Syddanmark,0,0,0
10-03-2020,Hospitalised,0-59,Midtjylland,3,3,3
10-03-2020,Hospitalised,60+,Midtjylland,1,1,1
10-03-2020,Hospitalised,0-59,Syddanmark,1,2,2
10-03-2020,Hospitalised,0-59,Hovedstaden,4,11,9
10-03-2020,Hospitalised,60+,Hovedstaden,4,11,11
10-03-2020,Hospitalised,0-59,Zealand,3,10,9
10-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
10-03-2020,Hospitalised,60+,Nordjylland,0,0,0
10-03-2020,Hospitalised,60+,Syddanmark,0,0,0
10-03-2020,Hospitalised,60+,Zealand,0,2,2
11-03-2020,Hospitalised,60+,Nordjylland,2,2,2
11-03-2020,Hospitalised,0-59,Hovedstaden,2,13,11
11-03-2020,Hospitalised,60+,Hovedstaden,3,14,13
11-03-2020,Hospitalised,0-59,Zealand,4,14,7
11-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
11-03-2020,Hospitalised,0-59,Midtjylland,0,3,3
11-03-2020,Hospitalised,60+,Midtjylland,0,1,1
11-03-2020,Hospitalised,0-59,Syddanmark,0,2,2
11-03-2020,Hospitalised,60+,Syddanmark,0,0,0
11-03-2020,Hospitalised,60+,Zealand,0,2,2
12-03-2020,Hospitalised,60+,Nordjylland,1,3,3
12-03-2020,Hospitalised,0-59,Midtjylland,5,8,6
12-03-2020,Hospitalised,60+,Midtjylland,1,2,2
12-03-2020,Hospitalised,0-59,Syddanmark,1,3,2
12-03-2020,Hospitalised,0-59,Hovedstaden,0,13,9
12-03-2020,Hospitalised,60+,Hovedstaden,2,16,15
12-03-2020,Hospitalised,0-59,Zealand,3,17,10
12-03-2020,Hospitalised,60+,Zealand,2,4,4
12-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
12-03-2020,Hospitalised,60+,Syddanmark,0,0,0
13-03-2020,Hospitalised,0-59,Midtjylland,3,11,9
13-03-2020,Hospitalised,60+,Midtjylland,4,6,6
13-03-2020,Hospitalised,0-59,Syddanmark,1,4,3
13-03-2020,Hospitalised,60+,Syddanmark,2,2,2
13-03-2020,Hospitalised,0-59,Hovedstaden,4,17,10
13-03-2020,Hospitalised,60+,Hovedstaden,6,22,19
13-03-2020,Hospitalised,0-59,Zealand,2,19,10
13-03-2020,Hospitalised,60+,Zealand,1,5,5
13-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
13-03-2020,Hospitalised,60+,Nordjylland,0,3,3
14-03-2020,Hospitalised,60+,Nordjylland,1,4,4
14-03-2020,Hospitalised,0-59,Midtjylland,2,13,6
14-03-2020,Hospitalised,60+,Midtjylland,1,7,6
14-03-2020,Hospitalised,0-59,Syddanmark,2,6,3
14-03-2020,Hospitalised,60+,Syddanmark,2,4,4
14-03-2020,Hospitalised,0-59,Hovedstaden,5,22,13
14-03-2020,Hospitalised,60+,Hovedstaden,4,26,23
14-03-2020,Hospitalised,0-59,Zealand,4,23,8
14-03-2020,Hospitalised,60+,Zealand,2,7,7
14-03-2020,Hospitalised,0-59,Nordjylland,0,0,0
15-03-2020,Hospitalised,0-59,Nordjylland,1,1,1
15-03-2020,Hospitalised,60+,Nordjylland,2,6,6
15-03-2020,Hospitalised,0-59,Midtjylland,2,15,7
15-03-2020,Hospitalised,60+,Midtjylland,2,9,6
15-03-2020,Hospitalised,60+,Syddanmark,1,5,5
15-03-2020,Hospitalised,0-59,Hovedstaden,5,27,17
15-03-2020,Hospitalised,60+,Hovedstaden,11,37,33
15-03-2020,Hospitalised,0-59,Zealand,1,24,7
15-03-2020,Hospitalised,60+,Zealand,4,11,11
15-03-2020,Hospitalised,0-59,Syddanmark,0,6,3
16-03-2020,Hospitalised,60+,Nordjylland,2,8,7
16-03-2020,Hospitalised,0-59,Midtjylland,1,16,5
16-03-2020,Hospitalised,60+,Midtjylland,2,11,8
16-03-2020,Hospitalised,0-59,Syddanmark,1,7,3
16-03-2020,Hospitalised,60+,Syddanmark,4,9,9
16-03-2020,Hospitalised,0-59,Hovedstaden,10,37,24
16-03-2020,Hospitalised,60+,Hovedstaden,9,46,40
16-03-2020,Hospitalised,0-59,Zealand,2,26,8
16-03-2020,Hospitalised,60+,Zealand,6,17,16
16-03-2020,Hospitalised,0-59,Nordjylland,0,1,1
17-03-2020,Hospitalised,0-59,Nordjylland,1,2,2
17-03-2020,Hospitalised,60+,Nordjylland,2,10,9
17-03-2020,Hospitalised,0-59,Midtjylland,2,18,6
17-03-2020,Hospitalised,60+,Midtjylland,4,15,12
